Name,Popularity,Album,Release,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Tempo,Instrumentalness,Valence,Duration
200 Mph,74,X 100PRE,2018-12-23,0.85,0.5,8,-6.708,0.0665,0.0139,160.02,0.000384,0.816,170.509
25/8,79,YHLQMDLG,2020-02-29,0.761,0.732,4,-5.469,0.0549,0.092,151.982,0.0,0.542,243.276
<3,77,YHLQMDLG,2020-02-29,0.631,0.665,10,-7.589,0.229,0.602,80.353,1.7e-06,0.634,157.967
Ahora Me Llama,63,Ahora Me Llama,2017-05-26,0.652,0.577,7,-5.273,0.0373,0.00947,134.987,4.02e-05,0.123,233.293
Amantes de una Noche,71,Amantes de una Noche,2018-01-12,0.567,0.73,9,-6.748,0.213,0.353,87.237,1.73e-06,0.525,225.52
Amigos y Enemigos (feat. Bad Bunny & Almighty) - Remix,67,Amigos y Enemigos (Remix),2017-02-06,0.752,0.748,6,-3.755,0.0895,0.289,115.01,0.0,0.497,295.304
Amorfoda,82,Amorfoda,2018-02-15,0.749,0.418,9,-7.925,0.0587,0.985,147.887,0.000126,0.307,153.887
AM Remix,89,AM Remix,2021-06-24,0.743,0.655,6,-5.015,0.159,0.114,172.031,0.0,0.785,261.335
ANTES QUE SE ACABE,83,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,0.693,0.549,2,-6.098,0.0577,0.505,139.988,4.73e-05,0.473,221.187
BAD CON NICKY,75,LAS QUE NO IBAN A SALIR,2020-05-10,0.59,0.729,7,-4.95,0.0893,0.321,93.094,0.0,0.712,202.24
Báilame - Remix,57,Báilame (Remix),2017-07-31,0.791,0.866,6,-4.236,0.0497,0.248,96.011,5.29e-06,0.71,217.08
Bellacoso,74,Bellacoso,2019-07-26,0.774,0.851,11,-2.795,0.255,0.0651,180.086,0.0,0.695,257.865
BENDICIONES,73,LAS QUE NO IBAN A SALIR,2020-05-10,0.828,0.581,11,-9.909,0.0725,0.0378,143.995,0.0,0.843,155.06
Bichiyal,83,YHLQMDLG,2020-02-29,0.737,0.766,10,-4.242,0.0458,0.31,93.956,6.63e-06,0.662,196.5
Blockia,62,Blockia,2017-05-19,0.773,0.583,1,-8.694,0.054,0.206,138.009,0.0,0.373,201.739
BOOKER T,83,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,0.883,0.6,7,-7.188,0.37,0.114,113.903,7.94e-06,0.691,156.43
BYE ME FUI,79,LAS QUE NO IBAN A SALIR,2020-05-10,0.712,0.599,5,-6.342,0.112,0.412,179.788,2.15e-05,0.588,178.0
Caile,70,Caile,2016-12-25,0.769,0.701,1,-1.971,0.0747,0.167,130.011,1.31e-06,0.349,299.195
Callaita,86,Callaita,2019-05-31,0.61,0.624,2,-4.773,0.309,0.6,176.169,2.12e-06,0.244,250.534
CANCIÓN CON YANDEL,81,LAS QUE NO IBAN A SALIR,2020-05-10,0.75,0.741,9,-4.43,0.402,0.447,79.968,0.0,0.495,209.18
Cántalo,59,Cántalo,2019-11-12,0.708,0.795,1,-4.71,0.116,0.0339,95.039,0.0,0.731,218.996
CANTARES DE NAVIDAD,63,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,0.764,0.523,2,-7.371,0.0406,0.777,118.671,0.0,0.962,199.72
Caro,76,X 100PRE,2018-12-23,0.651,0.575,0,-7.739,0.299,0.627,160.007,0.000202,0.248,229.456
Chambea,73,Chambea,2017-12-01,0.856,0.866,0,-3.494,0.159,0.228,116.005,0.00154,0.638,192.001
Como Antes,77,X 100PRE,2018-12-23,0.767,0.379,0,-10.348,0.0385,0.668,103.956,0.000145,0.252,230.578
CÓMO SE SIENTE - Remix,0,LAS QUE NO IBAN A SALIR,2020-05-10,0.813,0.616,3,-8.867,0.0773,0.0926,93.0,0.0,0.347,227.12
Como Soy,53,Como Soy,2018-08-30,0.819,0.753,9,-6.826,0.0568,0.0736,113.974,0.0,0.389,312.233
COMO UN BEBÉ,75,OASIS,2019-06-28,0.825,0.807,6,-5.753,0.0949,0.0732,103.053,4.79e-06,0.816,218.827
Crecia,58,Crecia,2017-01-27,0.718,0.702,6,-6.079,0.137,0.524,120.052,3.09e-06,0.525,270.0
Cuando Perriabas,73,X 100PRE,2018-12-23,0.787,0.705,0,-7.582,0.0695,0.137,81.998,1.06e-06,0.499,188.654
CUIDAO POR AHÍ,68,OASIS,2019-06-28,0.845,0.813,4,-2.979,0.077,0.111,90.98,0.00241,0.586,198.32
DÁKITI,88,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,0.731,0.573,4,-10.059,0.0544,0.401,109.928,5.22e-05,0.145,205.09
De Museo,76,De Museo,2021-07-06,0.592,0.494,4,-10.618,0.0747,0.237,132.037,0.0,0.231,209.771
Diles,87,Diles,2016-08-26,0.813,0.56,2,-5.904,0.0618,0.108,118.033,0.0,0.287,286.041
Dime,62,Dime,2018-03-23,0.772,0.66,11,-5.067,0.115,0.369,135.956,0.0,0.422,284.627
Dime Si Te Acuerdas,74,Dime Si Te Acuerdas,2018-02-22,0.74,0.595,1,-9.082,0.0623,0.486,131.96,0.0,0.316,187.273
EL MUNDO ES MÍO,74,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,0.716,0.522,5,-6.834,0.0582,0.166,76.993,6.5e-05,0.224,165.199
EN CASITA,66,LAS QUE NO IBAN A SALIR,2020-05-10,0.779,0.764,0,-8.217,0.0938,0.221,158.093,0.000669,0.675,176.44
Está Cabrón Ser Yo,77,YHLQMDLG,2020-02-29,0.81,0.854,10,-3.999,0.254,0.0732,154.083,0.0,0.879,227.939
Estamos Arriba,70,Estamos Arriba,2019-06-14,0.853,0.818,11,-3.6,0.0922,0.186,149.839,0.000255,0.546,225.694
Estamos Bien,79,X 100PRE,2018-12-23,0.759,0.536,9,-6.663,0.173,0.821,119.883,4.57e-06,0.439,208.08
Explícale (feat. Bad Bunny),73,#Update,2017-09-08,0.808,0.69,1,-4.151,0.148,0.0583,125.086,0.0,0.64,223.147
Fantasía,56,Fantasía,2018-02-09,0.837,0.604,7,-3.455,0.0414,0.343,126.049,7.97e-06,0.315,247.253
Favorito De Los Capo - Remix,47,Favorito De Los Capo (Remix),2017-12-23,0.649,0.766,6,-3.75,0.149,0.187,159.943,0.0,0.458,278.872
